case,variant,scenario,side,observations,captured_observation_bytes_min,captured_observation_bytes_max,retained_observation_bytes_min,retained_observation_bytes_max,captured_observation_capacity_min,captured_observation_capacity_max,retained_observation_capacity_min,retained_observation_capacity_max,handles_created_min,handles_created_max,live_handles_min,live_handles_max,force_attempts_min,force_attempts_max,full_decode_completions_min,full_decode_completions_max,completed_decode_cells_min,completed_decode_cells_max,cache_publications_min,cache_publications_max,reused_handles_min,reused_handles_max,duplicate_handles_min,duplicate_handles_max,dataptr_handles_min,dataptr_handles_max,pointer_materializations_min,pointer_materializations_max,source_columns_with_attempts_min,source_columns_with_attempts_max,max_source_column_completions_min,max_source_column_completions_max
pure-numeric-n1000-p8,direct,datasig,after_release_gc,3,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0,32.0,32.0,0.0,0.0,8.0,8.0,8.0,8.0,8000.0,8000.0,8.0,8.0,0.0,0.0,24.0,24.0,8.0,8.0,7.0,7.0,8.0,8.0,1.0,1.0
pure-numeric-n1000-p8,direct,datasig,after_retained_gc,3,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0,32.0,32.0,8.0,8.0,8.0,8.0,8.0,8.0,8000.0,8000.0,8.0,8.0,0.0,0.0,24.0,24.0,8.0,8.0,7.0,7.0,8.0,8.0,1.0,1.0
pure-numeric-n1000-p8,direct,datasig,before_release,3,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0,32.0,32.0,8.0,8.0,8.0,8.0,8.0,8.0,8000.0,8000.0,8.0,8.0,0.0,0.0,24.0,24.0,8.0,8.0,7.0,7.0,8.0,8.0,1.0,1.0
pure-numeric-n1000-p8,direct,first_value,after_release_gc,3,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0,32.0,32.0,0.0,0.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p8,direct,first_value,after_retained_gc,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,8.0,8.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p8,direct,first_value,before_release,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,8.0,8.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p8,direct,fraction,after_release_gc,3,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0,45.0,45.0,0.0,0.0,3.0,3.0,3.0,3.0,3000.0,3000.0,3.0,3.0,3.0,3.0,37.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
pure-numeric-n1000-p8,direct,fraction,after_retained_gc,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,45.0,45.0,8.0,8.0,3.0,3.0,3.0,3.0,3000.0,3000.0,3.0,3.0,3.0,3.0,37.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
pure-numeric-n1000-p8,direct,fraction,before_release,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,45.0,45.0,8.0,8.0,3.0,3.0,3.0,3.0,3000.0,3000.0,3.0,3.0,3.0,3.0,37.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
pure-numeric-n1000-p8,direct,known5_fraction,after_release_gc,3,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0,17.0,17.0,0.0,0.0,3.0,3.0,3.0,3.0,3000.0,3000.0,3.0,3.0,3.0,3.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
pure-numeric-n1000-p8,direct,known5_fraction,after_retained_gc,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,17.0,17.0,1.0,1.0,3.0,3.0,3.0,3.0,3000.0,3000.0,3.0,3.0,3.0,3.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
pure-numeric-n1000-p8,direct,known5_fraction,before_release,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,17.0,17.0,1.0,1.0,3.0,3.0,3.0,3.0,3000.0,3000.0,3.0,3.0,3.0,3.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
pure-numeric-n1000-p8,direct,load,after_release_gc,3,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p8,direct,load,after_retained_gc,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p8,direct,load,before_release,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n10000-p128,direct,all,after_release_gc,3,4820000.0,4820000.0,0.0,0.0,4820000.0,4820000.0,0.0,0.0,896.0,896.0,0.0,0.0,128.0,128.0,128.0,128.0,1280000.0,1280000.0,128.0,128.0,103.0,103.0,768.0,768.0,0.0,0.0,0.0,0.0,128.0,128.0,1.0,1.0
pure-numeric-n10000-p128,direct,all,after_retained_gc,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,896.0,896.0,128.0,128.0,128.0,128.0,128.0,128.0,1280000.0,1280000.0,128.0,128.0,103.0,103.0,768.0,768.0,0.0,0.0,0.0,0.0,128.0,128.0,1.0,1.0
pure-numeric-n10000-p128,direct,all,before_release,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,896.0,896.0,128.0,128.0,128.0,128.0,128.0,128.0,1280000.0,1280000.0,128.0,128.0,103.0,103.0,768.0,768.0,0.0,0.0,0.0,0.0,128.0,128.0,1.0,1.0
pure-numeric-n10000-p128,direct,datasig,after_release_gc,3,4820000.0,4820000.0,0.0,0.0,4820000.0,4820000.0,0.0,0.0,512.0,512.0,0.0,0.0,128.0,128.0,128.0,128.0,1280000.0,1280000.0,128.0,128.0,0.0,0.0,384.0,384.0,128.0,128.0,103.0,103.0,128.0,128.0,1.0,1.0
pure-numeric-n10000-p128,direct,datasig,after_retained_gc,3,4820000.0,4820000.0,0.0,0.0,4820000.0,4820000.0,0.0,0.0,512.0,512.0,128.0,128.0,128.0,128.0,128.0,128.0,1280000.0,1280000.0,128.0,128.0,0.0,0.0,384.0,384.0,128.0,128.0,103.0,103.0,128.0,128.0,1.0,1.0
pure-numeric-n10000-p128,direct,datasig,before_release,3,4820000.0,4820000.0,0.0,0.0,4820000.0,4820000.0,0.0,0.0,512.0,512.0,128.0,128.0,128.0,128.0,128.0,128.0,1280000.0,1280000.0,128.0,128.0,0.0,0.0,384.0,384.0,128.0,128.0,103.0,103.0,128.0,128.0,1.0,1.0
pure-numeric-n10000-p128,direct,first_value,after_release_gc,3,4820000.0,4820000.0,0.0,0.0,4820000.0,4820000.0,0.0,0.0,512.0,512.0,0.0,0.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n10000-p128,direct,first_value,after_retained_gc,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,128.0,128.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n10000-p128,direct,first_value,before_release,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,128.0,128.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n10000-p128,direct,fraction,after_release_gc,3,4820000.0,4820000.0,0.0,0.0,4820000.0,4820000.0,0.0,0.0,561.0,561.0,0.0,0.0,9.0,9.0,9.0,9.0,90000.0,90000.0,9.0,9.0,9.0,9.0,433.0,433.0,2.0,2.0,1.0,1.0,7.0,7.0,3.0,3.0
pure-numeric-n10000-p128,direct,fraction,after_retained_gc,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,561.0,561.0,128.0,128.0,9.0,9.0,9.0,9.0,90000.0,90000.0,9.0,9.0,9.0,9.0,433.0,433.0,2.0,2.0,1.0,1.0,7.0,7.0,3.0,3.0
pure-numeric-n10000-p128,direct,fraction,before_release,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,561.0,561.0,128.0,128.0,9.0,9.0,9.0,9.0,90000.0,90000.0,9.0,9.0,9.0,9.0,433.0,433.0,2.0,2.0,1.0,1.0,7.0,7.0,3.0,3.0
pure-numeric-n10000-p128,direct,known5_fraction,after_release_gc,3,4820000.0,4820000.0,0.0,0.0,4820000.0,4820000.0,0.0,0.0,77.0,77.0,0.0,0.0,9.0,9.0,9.0,9.0,90000.0,90000.0,9.0,9.0,9.0,9.0,70.0,70.0,2.0,2.0,1.0,1.0,7.0,7.0,3.0,3.0
pure-numeric-n10000-p128,direct,known5_fraction,after_retained_gc,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,77.0,77.0,7.0,7.0,9.0,9.0,9.0,9.0,90000.0,90000.0,9.0,9.0,9.0,9.0,70.0,70.0,2.0,2.0,1.0,1.0,7.0,7.0,3.0,3.0
pure-numeric-n10000-p128,direct,known5_fraction,before_release,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,77.0,77.0,7.0,7.0,9.0,9.0,9.0,9.0,90000.0,90000.0,9.0,9.0,9.0,9.0,70.0,70.0,2.0,2.0,1.0,1.0,7.0,7.0,3.0,3.0
pure-numeric-n10000-p128,direct,load,after_release_gc,3,4820000.0,4820000.0,0.0,0.0,4820000.0,4820000.0,0.0,0.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n10000-p128,direct,load,after_retained_gc,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n10000-p128,direct,load,before_release,3,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
